FILE NAME,Type,#CD45 TOT,#CD45 LIVE,#CD3 TOTAL,#CD3 LIVE,#CD4 LIVE,#CD8 LIVE
20170112_13-19-52_AX017_TCL_L002_C259_22156_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",117063,113738,57935,57379,39737,16423
20170112_13-19-52_AX017_TCL_L002_C259_22156_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",116353,113965,57531,56835,39656,15967
20170112_13-53-52_AX017_TCL_L002_C261_22174_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",27021,26446,17533,17416,12089,4714
20170112_13-53-52_AX017_TCL_L002_C261_22174_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",26873,26485,17492,17346,12063,4678
20170112_14-31-02_AX017_TCL_L002_C263_23124_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",62812,60922,27473,27164,13894,11803
20170112_14-31-02_AX017_TCL_L002_C263_23124_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",62404,61057,27422,26998,13858,11715
20170112_15-04-10_AX017_TCL_L002_C265_22158_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",177059,173983,139206,138326,48798,72721
20170112_15-04-10_AX017_TCL_L002_C265_22158_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",176827,174438,138811,137723,48534,72132
20170120_10-03-35_AX017_GT0_L016_C3459_28227_d0_650_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",111502,101511,39469,38372,21775,14753
20170120_10-03-35_AX017_GT0_L016_C3459_28227_d0_650_EDv38TCLv16_nofft.events.csv,"""=""",110779,107455,40004,38440,21796,14720
20170120_10-29-04_AX017_GT0_L016_C3455_32063_d0_650_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",128372,114172,33330,32071,17031,13808
20170120_10-29-04_AX017_GT0_L016_C3455_32063_d0_650_EDv38TCLv16_nofft.events.csv,"""=""",129126,123303,36137,33323,17428,14279
20170120_10-51-14_AX017_GT0_L016_C3451_23261_d0_650_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",91529,79298,27912,27166,14727,11021
20170120_10-51-14_AX017_GT0_L016_C3451_23261_d0_650_EDv38TCLv16_nofft.events.csv,"""=""",78561,75187,26092,24913,13380,10132
20170120_11-09-05_AX017_GT0_L016_C3462_6634_d0_650_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",228421,192825,77774,71578,35168,33002
20170120_11-09-05_AX017_GT0_L016_C3462_6634_d0_650_EDv38TCLv16_nofft.events.csv,"""=""",224964,202763,87798,72606,35607,33241
20170120_11-24-05_AX017_GT0_L016_C3453_28215_d0_650_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",217207,195602,62820,60791,37461,19980
20170120_11-24-05_AX017_GT0_L016_C3453_28215_d0_650_EDv38TCLv16_nofft.events.csv,"""=""",209251,202163,65952,62737,37534,21351
20170124_11-28-39_AX017_GT0_L016_C3300_6634_d4_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",7632,6784,6708,6162,2869,2909
20170126_11-25-07_AX017_GT0_L016_C3272_28429_d0_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",236886,203543,96557,84904,54838,26656
20170126_11-25-07_AX017_GT0_L016_C3272_28429_d0_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",232195,213015,97799,85561,55261,26837
20170126_11-39-43_AX017_GT0_L016_C3302_28004_d0_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",128277,113873,59864,54607,30734,21410
20170126_11-39-43_AX017_GT0_L016_C3302_28004_d0_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",126600,119240,60412,54780,30787,21458
20170126_11-54-01_AX017_GT0_L016_C3306_29956_d0_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",56613,51552,24588,24089,17959,5457
20170126_11-54-01_AX017_GT0_L016_C3306_29956_d0_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",56022,54406,24718,24270,17983,5534
20170126_12-11-00_AX017_GT0_L016_C3351_29453_d0_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",69385,65058,43144,42626,19389,20549
20170126_12-11-00_AX017_GT0_L016_C3351_29453_d0_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",69004,67467,43006,42538,19240,20710
20170126_12-29-10_AX017_GT0_L016_C3320_29661_d0_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",99053,91801,55023,54017,27340,21360
20170126_12-29-10_AX017_GT0_L016_C3320_29661_d0_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",98293,95769,54823,53863,27203,21367
20170126_12-47-09_AX017_GT0_L016_C3382_29651_d0_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",179282,153611,31180,25157,11864,10779
20170126_12-47-09_AX017_GT0_L016_C3382_29651_d0_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",172297,160619,31353,25095,11806,10803
20170126_13-02-03_AX017_GT0_L016_C3412_28427_d0_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",91840,80426,14406,13731,9975,3482
20170126_13-02-03_AX017_GT0_L016_C3412_28427_d0_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",88884,85082,15347,13713,10057,3383
20170223_15-01-16_AX017_TCL_L002_C271__650_SP_EDv38_nofft.events.csv,easy to separate,14761,13938,5000,4641,2833,1694
20170227_13-35-54_AX017_TCL_L002_C275_11834_650_SP_EDv38_nofft.events.csv,easy to separate,71305,70523,53869,53459,22854,20076
20170227_14-12-45_AX017_TCL_L002_C279_11840_650_SP_EDv38_nofft.events.csv,easy to separate,56465,55593,31289,30977,17916,11769
20170227_16-01-06_AX017_TCL_L002_C282_11738_650_SP_EDv38_nofft.events.csv,easy to separate,48721,48066,34174,33878,20337,12202
20170228_10-31-39_AX017_TCL_L002_C285_msg16-0086_650_SP_EDv38_nofft.events.csv,easy to separate,12063,10950,4510,3953,2552,980
20170228_11-22-35_AX017_TCL_L002_C288_msg16-0086-a_650_SP_EDv38_nofft.events.csv,not junk,19117,17217,18926,17053,4514,12222
20170514_13-57-24_AX017_TCL_L003_C442_11747_650_SP_EDv38_nofft.events.csv,easy to separate,56546,55944,29773,29450,13163,14766
20170619_16-16-19_AX019_TCL_L003_C429_q1618_690_SP_EDv38TCLv16_nofft.events.csv,easy to separate,27557,13242,24197,11582,3812,3610
20170621_10-29-16_AX019_TCL_L003_C322_072815lp_690_SP_EDv38TCLv16_nofft.events.csv,easy to separate,1637,1315,1195,1081,600,370
